 ,天數 (Day),今日幸運色 / 尋找目標 ,建議搭配之環保/分享任務,每日題目  (對應編號),每日首頁挑戰問候語 (20 字內) 
Guideline ,每位用戶登入的天數,"1. 賦予顏色「個性」或「情緒」 ，試著把顏色變成精靈當天的心情或需要的能量：
紅色： 代表熱情、愛心、力量、戰鬥力。
黃色/橘色： 代表溫暖、陽光、開心、保護罩。
綠色： 代表純淨、呼吸、森林的氣息、解毒。
紫色/黑色： 代表神祕、魔法、深夜的尋寶。
白色： 代表輕盈、純粹、無負擔。
2. 幸運色推播文案公式（自由套用） 【精靈的狀態/情境】 + 【指定的顏色與感覺】 + 【食材小提示 (可有可無)】
範例 A (紫色)： 「聽說今天的幸運色是『紫色』！你要不要去尋找紫色的能量呢？🍆」
範例 B (黃色)： 「精靈今天覺得有點冷... 能不能帶牠去尋找像陽光一樣溫暖的『黃色』食物呢？🌽」
範例 C (黑色)： 「灰霧裡隱藏著神祕的『黑色』魔法能量！今天挑戰找出黑木耳或黑芝麻吧！✨」
3. 後台食材資料庫的「寬鬆建檔」原則（解決 AI 判定問題） 當你們在 Excel 建立「食材對應顏色」的資料庫時，請把握**「只要沾上邊就算數」**的寬鬆原則，讓使用者容易過關，保持開心：
多重顏色標籤： 食物不只有一種顏色！例如「蘋果」可以同時標記 [紅色, 綠色]，「彩椒」可以標記 [紅色, 黃色, 綠色]。
外皮或果肉都算： 茄子外皮是紫色、裡面是白色，那就把茄子標記為 [紫色, 白色]。
不用過度鑽牛角尖： AI 辨識只要認出名單上的「任何一項食材」符合今天的顏色就算成功。我們的核心是讓大家「吃得輕盈，活得自在」，好玩最重要！","5R 永續行動 (著重於「環境與外在貢獻」)
1. Refuse (拒絕) - 拒絕浪費與人工添加物
• 企劃方向： 鼓勵在日常生活中做出拒絕的選擇。
• 任務舉例： 買餐點時向店家說「不用塑膠袋/免洗餐具」，並在打卡時勾選環保行動。
2. Reuse (重複使用) - 帶著你的專屬裝備
• 企劃方向： 培養自帶容器的習慣，結合遊戲裡的「裝備」概念。
• 任務舉例： 攜帶並使用環保餐盒或環保杯買飲料
3. Reduce (減少) - 減少碳排與水資源消耗
• 企劃方向： 結合 ProVeg 題庫的環境冷知識，讓使用者知道「不吃肉」減少了多少資源消耗。
• 任務舉例： 挑戰「光盤行動」不留廚餘；或者今天吃耗水量極低的「豆類」（生產 1 公斤牛肉需要約 15,000 升水，相當於洗 240 次澡）。
4. Recycle (循環/分享) - 正能量的擴散
• 企劃方向： 知識與善意的循環。
• 任務舉例： 閱讀 1 則蔬食學堂短知識；或將今天寵物 (Eco-Mon) 成長的照片分享到 IG 等社群平台，將綠色能量循環出去。
5. Repair (修復) - 修復這座城市的灰霧
• 企劃方向： 引導使用者去使用 MVP 核心功能「蔬食地圖」。
• 任務舉例： 在 App 裡打開地圖，找到一個「灰色圖釘（待評論地點）」，上傳餐點照片與評論，將它修復成「綠色圖釘」。
痛點擊破行動 (著重於「解決個人阻礙」)，根據市調問卷，這 5 個主題能精準解決大眾不敢吃素的心魔：
6. 擊破「怕餓 / 沒力氣」 (營養滿分日)
• 痛點背景： 有 28.4% 中文用戶與 23% 英文用戶擔心吃素會沒體力。高達 41% 英文用戶想要營養追蹤功能。
• 任務舉例： 今天刻意尋找「高植物蛋白」的食材！例如喝一杯蛋白質含量最高的「豆奶」，或是吃由發酵大豆製成、含 20% 蛋白質的「天貝」。
7. 擊破「口腹之慾」 (美味重現日)
• 痛點背景： 40.6% 中文用戶覺得肉太好吃，放不下口腹之慾。
• 任務舉例： 嘗試厲害的植物性替代品。例如找一家有賣「植物肉」的漢堡，或者挑戰用「黑鹽 (Kala Namak)」來體驗類似雞蛋的風味。
8. 擊破「便利性不足」 (生活尋寶日)
• 痛點背景： 這是最大的阻礙，高達 59.1% 中文用戶與 41% 英文用戶覺得選擇太少、找餐廳很不方便。
• 任務舉例： 任務不是去純素餐廳，而是去「7-11」或「一般葷食餐廳」裡，找出一道隱藏的「方便素/鍋邊素」餐點，證明蔬食隨手可得。
9. 擊破「社交困擾」 (友善聚餐日)
• 痛點背景： 32.5% 中文用戶與 43.5% 英文用戶怕聚餐難配合，不想當麻煩人物。
• 任務舉例： 邀請一位平常吃肉的朋友，去吃地圖上評分很高的「綠色圖釘」餐廳，用好吃的食物證明蔬食聚餐也很酷！
10. 擊破「討厭被說教」 (療癒愛己日)
• 痛點背景： 12.7% 中文用戶討厭被道德綁架。規格書也強調 App 必須是不給壓力的陪伴感。
• 任務舉例： 今天的任務與救地球無關，只為了自己的健康。例如吃含有豐富健康脂肪的「堅果」來提升大腦功能，感受身體變得輕盈的自在感。",,
"Phase 1 
30 Day Challenge",Day 1,"紅色
今天的幸運色是『紅色』！跟著精靈一起把拖延症通通燃燒掉吧！
","Refuse 日：拒絕使用一次性用品
任務：外帶時，主動拒絕使用一次性用品（吸管/杯子/免洗餐具）。
加分挑戰：拒絕使用2種一次性用品 （餐盒+免洗餐具）
- 減少使用一次性用品，城市灰霧 -1%。",,
,Day 2,"黃色/橘色
今天的幸運色是『黃色/橘色』！精靈：「吃一點酸甜的鳳梨，能讓心情瞬間放晴喔！」","Refuse 日：拒絕使用塑料袋
任務：外帶/購物時，主動拒絕使用塑料袋。
加分挑戰：當天成功拒絕2次使用塑料袋。
- 減少塑料廢棄物，城市灰霧 -1%。",,
,Day 3,"綠色
森林精靈發出求救訊號！需要大量『綠色』能量來淨化空氣！🆘","Refuse 日：拒絕過度包裝食品
任務：今天選擇包裝最少的食品，避免多層塑料包裝。
加分挑戰：成功選擇超過1項 【無額外塑料包裝】的產品。
- 降低垃圾產生量，城市灰霧 -1%。",,
,Day 4,"紫色/黑色
精靈發現一個被鎖上的寶箱，鑰匙竟然是一顆『紫色』的蓝莓？","Reuse 日：使用環保杯
任務：購買任何飲料時，使用自備杯/瓶子。
加分挑戰：全日飲品皆使用自備杯。
- 培養裝備習慣，永續能量 +1。",,
,Day 5,"白色
聽說山竹的甜能治百病？『白色』食物就是今天的解藥！","Reuse 日：使用環保餐盒
任務：外帶餐點時使用自備餐盒。
加分挑戰：避免任何一次性外帶容器。
- 減少垃圾生產量，城市灰霧 -1%。",,
,Day 6,"紅色
想要好人緣嗎？精靈建議今天多接觸『紅色』能量，讓你的親和力UP！","Reuse 日：自備環保餐具
任務：携帶並使用個人餐具用餐一次。
加分挑戰：用餐全程不使用免洗餐具。
- 培養裝備習慣，永續能量 +1。",,
,Day 7,"黃色/橘色
精靈覺得有點冷... 能不能帶牠去尋找像陽光一樣溫暖的『黃色/橘色』食物呢？或許南瓜粥是個好主意！🎃","Reduce 日：光盤行動
任務：用餐時，不留下任何厨餘/不挑食。
加分挑戰：鼓勵他人一起完成光盤。
- 食物浪費減少，城市灰霧 -2%。",,
,Day 8,"綠色
叮咚！今日幸運色：『綠色』快去尋找吧！🔔","Reduce 日：豆類低碳餐
任務：選擇一餐以豆類爲主 （豆腐/鷹嘴豆/扁豆）。
加分挑戰：該餐完全不含肉類。
- 降低碳排放，城市灰霧 -2%。",,
,Day 9,"紫色/黑色
精靈預言：今天攝取『黑色』能量會讓你的魅力值爆表！別忘了吃黑豆補補運！✨","Reduce 日：不點外送
任務：今日不使用任何外送平臺。
加分挑戰：自行準備或現場購買餐點。
- 減少運輸碳排，城市灰霧 -1%。",,
,Day 10,"白色
今天的幸運色是『白色』。它像初雪一样，覆蓋所有的不愉快。❄️","Reduce 日：節水行動
任務：使用洗菜水澆花或清潔一次。
加分挑戰：瞭解並記錄 1 項水資源冷知識。
- 水資源效率提升，城市灰霧 -1%。",,
,Day 11,"紅色
用一顆紅彤彤的蘋果開啟午後吧，驅散所有懶散。今日幸運色就是『紅色』。","Recycle 日：閲讀蔬食知識
任務：閲讀一則蔬食或環保知識内容。
加分挑戰：將内容分享給至少1位朋友。
- 蔬食/環保知識循環 +1。",,
,Day 12,"黃色/橘色
精靈正趴在剛出爐的金黃色吐司上，陶醉地說：「这是是世界上最迷人的香味」。今日的幸運色是『黃色/橘色』。","Recycle 日：社群分享
任務：分享今日蔬食餐點照片到社群平臺。
加分挑戰：標記餐廳或附上簡短心得。
- 綠色影響力 +1。",,
,Day 13,"綠色
嘿！精靈發現你的餐盤裡缺了一點『綠色』喔。🧐","Recycle 日：正確分類
任務：將一件可回收物正確分類丟棄。
加分挑戰：完成至少2種分類 （例如：紙類+塑料類）
- 降低垃圾產生量，城市灰霧 -1%。",,
,Day 14,"紫色/黑色
精靈在影子迷宮迷路了！快幫牠找出『黑色』能量的作為路標吧！","Repair 日：新增餐廳評論
任務：在Yummi Go App的地圖上新增一間餐廳評論與照片。 
加分挑戰：選擇尚未評論的灰色圖釘。
- 成功評論和上傳圖片后，灰色圖釘轉為綠色圖釘。",,
,Day 15,"白色
今天適合當一朵無憂無慮的小雲！☁️ 跟著精靈一起飄，收集『白色』光芒吧。","Repair 日： 帶走城市垃圾
任務：在公共場所撿起1件垃圾並正確丟棄。
加分挑戰：帶走超過一件垃圾。
- 城市灰霧 -5%。",,
,Day 16,"紅色
今日冒險指南： 跟隨『紅色』的光芒，去挖掘那些隱藏在日常裡的驚喜。","營養滿分日：擊破怕餓
任務：吃一份豆類高蛋白餐。
加分挑戰：餐點完全無肉。
- 寵物能量 +1%。",,
,Day 17,"黃色/橘色
聽說柿子代表事事如意。🍊 今天的幸運指令：尋找『橘色』的食物。","營養滿分日：擊破怕餓
任務：喝一杯高蛋白豆奶。
加分挑戰：記錄蛋白質含量。
- 解鎖營養追蹤功能。",,
,Day 18,"綠色
蘆筍、秋葵、四季豆... 誰是今天的『綠色』主角？","營養滿分日：擊破怕餓
任務：記錄今日植物蛋白來源至少2種。
加分挑戰：標注攝取食物。
- 解鎖植物蛋白圖鑒。",,
,Day 19,"紫色/黑色
魔法陣需要最後一個碎片，快去收集會發光的『紫色』碎片吧！","美味重現日：擊破口腹之欲
任務：嘗試植物肉餐點。
加分挑戰：與朋友分享味道體驗。
- 解鎖美味推薦模式。",,
,Day 20,"白色
精靈掉進了夢境裡... ，唯一的出口需要「白色」的能量。快來幫幫它吧！","美味重現日：擊破口腹之欲
任務：嘗試一份以香菇或豆腐爲主的蔬食料理。
加分挑戰：嘗試一道平常常見，但改成蔬食版本的料理（素漢堡/素炒飯）
- 味覺探索值 +1。",,
,Day 21,"紅色
大紅大紫的運勢起點，先從補給『紅色』的能量開始，好運將接踵而來。✨","美味重現日：擊破口腹之欲
任務：在蔬食餐廳用餐。
加分挑戰：留下真實評價。
- 味覺探索值 +1。",,
,Day 22,"黃色/橘色
精靈正對著魔法咖哩唸咒語：「煩惱通通融化！」今日幸運色：『黃色/橘色』。
","生活尋寶日：擊破便利性
任務：在 7-11 找到一項素食商品。
加分挑戰：購買並記錄。
- 證明蔬食隨手可得。",,
,Day 23,"綠色
拍下你餐盤裡的『綠色』！讓精靈看看誰是牠最棒的夥伴。🤝","生活尋寶日：擊破便利性
任務：在 一般餐廳點一道素食餐。
加分挑戰：不特別前往純素餐廳用餐。
- 證明蔬食是便利的。",,
,Day 24,"紫色/黑色
想念海風了嗎？今日的小零食來幾片『黑色』的海苔吧！讓你彷彿置身於沙灘。🌊","生活尋寶日：擊破便利性
任務：使用Yummi Go 搜尋 3 公里内的蔬食店。
加分挑戰：收藏一間店家。
- 地圖功能升級。",,
,Day 25,"白色
跟著精靈，去收集白樺林裡的晨露吧！ 🌿收集完晨露，別忘了補給『白色』能量哦。","友善聚餐日：擊破社交困擾
任務：分享蔬食資訊給朋友/家人。
加分挑戰：分享冷門並正確的蔬食資訊給朋友/家人。
- 社交影響力提升。",,
,Day 26,"紅色
今天的能量源泉是『紅色』，讓身體溫暖起來，才有力氣去擁抱、去傾聽並感受愛。❤️","友善聚餐日：擊破社交困擾
任務：邀請朋友一同聚餐。
加分挑戰：餐桌上都是蔬食。
- 社交影響力提升。",,
,Day 27,"黃色/橘色
今天的幸運色是『黃色/橘色』。
嘿！精靈正忙著偷吃你的薯條呢，沒辦法，誰讓這看起來就有一種開心的魔力呢？","友善聚餐日：擊破社交困擾
任務：在群組推薦蔬食餐廳。
加分挑戰：推薦不止一間蔬食餐廳。
- 社交影響力提升。",,
,Day 28,"綠色
聽說蔥花的『綠色』能驅散霉運，今天你的午餐加蔥了嗎？","療癒愛己日：擊破討厭被説教
任務：吃任何一種堅果。
加分挑戰：記錄該堅果的營養價值。
- 開啓【純健康模式】。",,
,Day 29,"紫色/黑色
精靈說牠變成了隱形人！除非你找到『黑色』的能量，否則牠就不出來見人喔！","療癒愛己日：擊破討厭被説教
任務：七分飽挑戰。
加分挑戰：盡量不吃過撐。
- 開啓【純健康模式】。",,
,Day 30,"白色
任务：攝取『白色』食物。今天不當軟柿子，當一顆Ｑ彈的年糕！自帶反彈體質，即使有壓力也能彈回去！","療癒愛己日：擊破討厭被説教
任務：靜下心來，回顧這 30 天的蔬食旅程，寫下你的感想與自我復盤。感受自己的改變，讚賞每一次小小努力。
加分挑戰：列出 3 個你最明顯的改變或收穫，記錄下來。
- 解鎖【綠洲創造者】稱號，獲得專屬徽章。",,
,Day 31,"紅色
精靈陷入苦戰，特別需要『紅色』能量！快去尋找紅辣椒或紅甜椒挑戰一下，幫助精靈贏回勝利吧！ 🌶️✨",,,
,Day 32,"黃色/橘色
精靈想變身小太陽！☀️ 正在徵求『黃色/橘色』的能量。",,,
,Day 33,"綠色
精靈想玩躲貓貓！菠菜、青椒、橄欖... 誰是今天的『綠色』躲藏點？選一個把它吃掉，精靈就會跑到你心裡喔！🤫",,,
,Day 34,"紫色/黑色
聽說精靈在『紫色』洋蔥裡錄了一段秘密訊息，只有剝開它的人才能聽到喔！🧅",,,
,Day 35,"白色
精靈肚子餓了，並指定要『白色』的食物，快帶它去填飽肚子吧！",,,
,Day 36,,,,
,Day 37,,,,
,Day 38,,,,
,Day 39,,,,
,Day 40,,,,
,Day 41,,,,
,Day 42,,,,
,Day 43,,,,
,Day 44,,,,
,Day 45,,,,
