Source,題目編號,題目類別,Question,選項A,選項B,選項C,正確答案,講解,
ProVeg,,營養素類,"遵循植物性飲食會對健康帶來什麼影響？ 
 
 


",增加罹患慢性病的風險,改善心臟健康並降低膽固醇水平,免疫系統下降,改善心臟健康並降低膽固醇水平,遵循植物性飲食能改善心臟健康和降低膽固醇水平，這是因為它富含膳食纖維，以及低含量的飽和脂肪和膽固醇，有助於降低壞膽固醇（LDL）和血壓。,
ProVeg,,營養素類,"大多數素食者需要透過強化食品或補充劑來獲取哪種維生素？ 



",維生素 C,維生素 B12,維生素 D3,維生素 B12,"維生素B12主要存在於動物性食品中，因此它是大多素食者（尤其是純素食者）
最需要透過強化食品或補充劑來獲取的關鍵維生素。",
ProVeg,,烹飪,"在純素烹調中，什麼「關鍵」食材常被用來提供類似雞蛋的味道？
",黑鹽 (kala namak),喜馬拉雅鹽,碘鹽,黑鹽,"黑鹽也稱為 kala namak，是一種源自喜馬拉雅山脈週邊的鹽。它含有硫化合物，能提供類似雞蛋的味道和氣味，
使其成為素食烹飪中模仿雞蛋風味的關鍵成分。例如，在烹調純素炒豆腐時，加入少許黑鹽就能獲得與傳統炒蛋相似的風味。",
ProVeg,,烹飪,什麼是鷹嘴豆水 (aquafaba)，以及它如何用作雞蛋替代品？ ,煮鷹嘴豆留下的水，用於取代烘焙食譜中的蛋白。,煮肉留下的水，用於增加濕度。 ,煮飯留下的水，用於增加口感。,煮鷹嘴豆留下的水，用於取代烘焙食譜中的蛋白。,黑鹽也稱為 kala namak，是一種源自喜馬拉雅山脈週邊的鹽。它含有硫化合物，能提供類似雞蛋的味道和氣味，使其成為素食烹飪中模仿雞蛋風味的關鍵成分。例如，在烹調純素炒豆腐時，加入少許黑鹽就能獲得與傳統炒蛋相似的風味。,
ProVeg,,營養素類,"為了增強非血紅素鐵（植物來源）的吸收，素食者應該攝取：


 

",富含維生素 C 的食物,乳製品 ,飽和脂肪,富含維生素 C 的食物,維生素 C 能夠顯著提高腸道對鐵的利用率，同時攝取富含維生素 C 的食物，可以增強性非血紅素鐵的吸收。,
ProVeg,,烹飪,作為烘焙食譜中的雞蛋替代品，製作「亞麻籽蛋 (flax egg)」的正確方法是什麼？ , 將 1 湯匙亞麻籽粉與 3 湯匙水混合，靜置 5 分鐘,將 1 湯匙亞麻籽粉與 3 湯匙水混合，靜置 10 分鐘,將 1 湯匙亞麻籽粉與 3 湯匙水混合，靜置 15 分鐘,將 1 湯匙亞麻籽粉與 3 湯匙水混合，靜置 5 分鐘,要製作“亞麻籽蛋”，請將 1 湯匙磨碎的亞麻籽粉與 3 湯匙水在一個小碗中混合。攪拌後靜置5分鐘，直到它形成凝膠狀態。這種混合物可以取代大多數烘焙食譜（如蛋糕、鬆餅和餅乾）中的雞蛋。亞麻籽蛋起到黏合劑的作用，並為烘焙食品增加濕度。,
ProVeg,,影片,"下列紀錄片或電影中，哪部是傳遞有關植物性飲食方式或動物權益的訊息？ 
",《忠犬八公的故事》(Hachi: A Dog's Tale),《茹素的力量》(The Game Changers),《復仇者聯盟》(The Avengers), 《茹素的力量》(The Game Changers),《茹素的力量》(The Game Changers) 是一部著名的紀錄片，它透過展示運動員在採納植物性飲食後的表現，來傳遞有關植物性飲食方式益處的訊息。,
ProVeg,,烹飪,素食廚師所建議的、有助於適應純素生活方式的烹飪技巧是什麼？ ,以菠蘿蜜、天貝、蘑菇、豆腐等食材取代食譜中的肉類,每一天烹調每一餐,每道食譜使用大量的純素奶油和奶油,以菠蘿蜜、天貝、蘑菇、豆腐等食材取代食譜中的肉類,素食廚師建議嘗試修改您最喜愛的食譜，用菠蘿蜜 (jackfruit)、花椰菜 (cauliflower)、牛油豆 (butterbeans) 或紅薯 (sweet potato) 等食材替代肉類，同時保留常用的香料和調味料。,
ProVeg,,營養素類,"哪一種奶類的天然蛋白質含量最高，使其在蛋白質含量部分能成為替代牛奶的最佳選擇？ 
",豆奶, 燕麥奶,杏仁奶,豆奶,豆奶的蛋白質含​​量與牛奶幾乎一樣，使其成為尋求高蛋白替代品的首選。,
ProVeg,,烹飪,"哪一種食材通常被用作素食烘焙中的雞蛋替代品？ 
",鷹嘴豆水 (Aquafaba),奶油 ,營養酵母,鷹嘴豆水 (Aquafaba),鷹嘴豆水 (Aquafaba) 是煮鷹嘴豆留下的液體，它有乳化和起泡特性，所以是很好的雞蛋替代品，常用於替代蛋白和一些烘焙食譜中。,
