,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Name,Collect XP,Mission Tyoe,Notes,Special Starting Point,,,,User Type ,AI Meal Check In,Points,Daily Mission ,Points,Maps,Points,Total ,Convert to Gem,,,Pet Phases,Level ,XP,Accumulated,,Pet Phases,Level ,XP,Accumulated
First Meal ,+20 XP,AI Meal Check In,,,,,,100% Active User (8/8),3 meals,+70XP,2 Completed,+30XP,3 Reviews/ per day,+45~60XP,145 ~ 160XP,45~60 Gems,,,Birth,1,30,30,,Birth,1,30,30
Second Meal/ First Meal ,+20 XP,AI Meal Check In,Will be filterred by the notification time they've set up. Three/ Two Or One,,,,,100% Active User (6/6),2 meals,+50XP,2 Completed,+30XP,2 Reviews/ per day,+30~40XP,110 ~ 120XP,10~20 Gems,,,Birth,2,30,60,,Birth,2,30,60
Third Meal/ Second Meal,+30 XP,AI Meal Check In,If people who are supposed to eat 2 meals had 3 meals that day we will still provide them +30XP for the last meal for encouragement ,,,,,100% Active User (4/4),1 meal,+20XP,2 Completed,+30XP,1 Reviews/ per day,+15~20XP,65~70XP,,,,Birth,3,30,90,,Birth,3,30,90
Daily Color,+15 XP,Daily Mission,,,,,,85% Active User (7/8),3 meals,+70XP,1 Completed,+15XP,3 Reviews/ per day,+45~60XP,130 ~ 145XP,30~45 Gems,,,Birth,4,30,120,,Birth,4,30,120
Daily Quiz ,+15 XP,Daily Mission,,,,,,85% Active User (7/8),3 meals,+70XP,2 Completed,+30XP,2 Reviews/ per day,+30~40XP,130~140XP,30~40 Gems,,,Birth,5,30,150,,Birth,5,30,150
First Verification,+20 XP,Maps,"The review system will be limited to location. The person has to be close to the location in order to leave an review to make sure the data is updated and prevent cheating for XPs and Gems.
Also the times for review will be limited to the meals they check in.",First two weeks for every user will be +50XP,,,,85% Active User (5/6),2 meals,+50XP,1 Completed,+15XP,2 Reviews/ per day,+30~40XP,95 ~ 105XP,0~5 Gems,,,Baby,6,50,200,,Baby,6,50,200
Leave a Review ,+15 XP,Maps,same as above,First two weeks for every user will be +50XP,,,,85% Active User (5/6),2 meals,+50XP,2 Completed,+30XP,1 Reviews/ per day,+15~20XP,95 ~ 100XP,0~1Gem,,,Baby,7,50,250,,Baby,7,50,250
Justified Reports,,Maps,,,,,,75% Active User (3/4),1 meal,+20XP,2 Completed,+30XP,0 Reviews/ per day,0XP,50XP,,,,Baby,8,50,300,,Baby,8,50,300
Sustainable Actions,,Daily Mission,,,,,,75% Active User (3/4),1 meal,+20XP,1 Completed,+15XP,1 Reviews/ per day,+15~20XP,50~55XP,,,,Baby,9,50,350,,Baby,9,50,350
,,,,,,,,70% Active User (6/8),3 meals,+70XP,0 Completed,+0XP,3 Reviews/ per day,+45~60XP,115~130XP,15~30 Gems,,,Baby,10,50,400,,Baby,10,50,400
